表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),IsBlack,是否可利用,int,0：可利用  1:不可利用,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),EmpNo,当前归属营销员编号,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),CompanyGroup,所处行业，多多个行业,varchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ContactTel,联系电话,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ContactJobTitle,联系人职位,nvarchar,"0无,1有",,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),HasLic,是否有营业执照,bit,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),QQNo,QQ号,varchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),LicNo,是否有营业执照号码 ,varchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Q,查询文字，用于全文检索 ,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),HasLikeCom,"是否重复,是否已有相同企业",int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),VipType,Vip类别,int,"0新注册企业,1试用企业(已过期)，2VIP企业,3VIP企业(已过期),,4试用企业,5试用企业(已过期)",,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),JobRefreshTime,职位最新刷新时间,datetime,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),GiftPromised,折扣,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),GiftApplied,折扣,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),LastEmpNo,前一个归属营销员编号,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),LastChgEmpTime,最新修改时间(内部员工),datetime,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),OpChgEmpNo,修改操作员工编号,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),LastRefreshTime,最后刷新时间,datetime,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ComRank,企业分组,int,比如大客户群、中小客户群等等,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),SalesVipClass,销售Vip等级,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),SalesMoney,销售金额,decimal,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),SalesQQ,销售人员QQ,varchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),SalesEmail,销售人员Email,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ModifyCount,修改次数,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),CanDelete,标记是否可以删除,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),SalesNote,销售附言,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),FamousGrade,名企等级,int,暂时没有使用，未来可以修改,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),IsVip,是否是vip,bit,0否，1是,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),lat,地埋位置（经纬度）,decimal,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),lng,地埋位置（经纬度）,decimal,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),gisconfidence,gis位置,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),OldRegion,,int,暂未使用,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),IsCol,是否是采集来的企业信息,bit,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Mobile,手机号,varchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),RegSrc,注册来源，比如具体的活动编号,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),LicAduitStatus,执照审核状态,int,‘-2:未提交审核 -1:审核不通过 0：已提交，待审核 1:审核通过,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),AduitEmpNo,审核人员工号,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),AduitEmpName,审核人员工姓名,nvarchar,,,,,,,,,,,,,,,,,,
